;X;Y
ua1;-48.59888889;-25.74138889
ua2;-48.63944444;-25.61444444
ua3;-39.05979118;-15.16645801
ua4;-39.12103841;-16.3243541
ua5;-39.52699019;-15.15521818
ua6;-48.06666667;-24.23333333
ua7;-40.579858;-19.960265
ua8;-40.594827;-19.970871
ua9;-45.377639;-23.179152
ua10;-45.27347778;-23.21176944
ua11;-45.37916389;-23.17711111
ua12;-45.275524;-23.216409
ua13;-45.380366;-23.179634
ua14;-48.1;-24.21666667
ua15;-42.82073611;-20.23783889
ua16;-35.49083333;-7.590833333
ua17;-50.201975;-29.48697222
ua18;-50.20655278;-29.48593889
ua19;-50.20819444;-29.48288889
ua20;-50.20571111;-29.47995556
ua21;-49.899269;-24.591573
ua22;-49.904808;-24.587095
ua23;-49.89896;-24.584243
ua24;-49.923943;-24.587255
ua25;-49.912402;-24.575878
ua26;-49.912997;-24.575738
ua27;-49.909341;-24.582999
ua28;-49.907174;-24.58694
